,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient
0,1,1,0.1639999859650401,4.0862071740669546,0.0007194739781629655,0.5109865228849833
1,61,1,0.16395936173375286,4.085910251800946,0.0008646931730940111,0.5520616100962965
2,121,1,0.1639607924913494,4.085877497780441,0.0008807119131739594,0.6628373316643322
3,181,1,0.16393959222232207,4.084573755432329,0.0015182182056453497,0.7068799621632276
4,241,1,0.16390851833671388,4.08444120901923,0.0015830195970814032,0.7582407478758855
5,301,1,0.16392385404950705,4.084026183326114,0.0017859103357751316,0.8178766109560986
6,361,1,0.16402268363500774,4.086148164102776,0.0007483355016980608,0.4927903880431567
7,421,1,0.163905949091203,4.084441076798688,0.0015830842381061583,0.7166643404294806
8,481,1,0.16392213666169975,4.08430476036724,0.0016497265802755123,0.7835627971002599
9,541,1,0.16397076092745017,4.085555723774384,0.0010380724590541845,0.6449295876072977
10,1,1250,0.12271795761943993,2.840529465607334,0.5171132849425196,0.7767718013867231
11,61,1250,0.08719646818271941,2.173546803598848,0.7172616931734385,0.9254224176291244
12,121,1250,0.08690453353023933,2.1646295904350876,0.7195768638619557,0.9230647742355518
13,181,1250,0.0871453221033236,2.161579823821526,0.7203664887056318,0.9212821223479929
14,241,1250,0.08747925189670425,2.1817823582352145,0.7151150468548255,0.9238348103027207
15,301,1250,0.08733282204541598,2.1724650806449226,0.7175430475110978,0.9246159312907247
16,361,1250,0.08797690096706237,2.181225327922698,0.7152604960985482,0.9221079912676445
17,421,1250,0.08687332764704958,2.1532875288319184,0.7225078445965694,0.9234093092404752
18,481,1250,0.08672272410293103,2.16704687330357,0.7189502065007134,0.9256340024800318
19,541,1250,0.0870574005155572,2.1620992888175117,0.7202320710233014,0.9233214020333096
20,1,2500,0.10830533630397693,2.537122832697797,0.6147615316042343,0.7999978253892209
21,61,2500,0.05662710435389305,1.4724491102079904,0.8702440600859299,0.9533066966740785
22,121,2500,0.05682734565584151,1.4948961806278687,0.8662577193798371,0.9504420650683065
23,181,2500,0.05631298979760047,1.475465516701485,0.8697118888107431,0.9524016736259017
24,241,2500,0.057294169001517375,1.4975124303188527,0.8657891793013897,0.9514097412408276
25,301,2500,0.05715293893295101,1.4841103764120716,0.8681806811573837,0.9514685964075862
26,361,2500,0.057075649292267154,1.4971644032711195,0.8658515541666532,0.9510750154916029
27,421,2500,0.05707510831859739,1.4900027357085417,0.8671318795058218,0.9511577480693285
28,481,2500,0.05665829210676701,1.4749405687271824,0.8698045813371594,0.9527216017490437
29,541,2500,0.05686429697219844,1.4824506957358214,0.8684753434008479,0.9527430534162745
30,1,3750,0.10059411718350718,2.4099629162951057,0.6524099149508114,0.8169991993714056
31,61,3750,0.039907491495433295,1.1096535228995936,0.9263078117868901,0.9717849028913612
32,121,3750,0.040711609236966435,1.1160603195987377,0.9254544033538481,0.9713345300519337
33,181,3750,0.04022574129552724,1.11951729369726,0.9249918812018033,0.9706470028865022
34,241,3750,0.040223554861326276,1.103461872463441,0.9271278935395517,0.9714399853706948
35,301,3750,0.04035029479126469,1.1030680013599847,0.927179906382398,0.9713416582685266
36,361,3750,0.04044029469005057,1.1203599860450313,0.9248789172349186,0.9707554176781522
37,421,3750,0.04054488717009028,1.1055959059863494,0.9268457598342674,0.97125446232502
38,481,3750,0.04083198360734454,1.127677801957381,0.9238943809029564,0.9705386592068885
39,541,3750,0.04016871702066953,1.1099237006562612,0.92627192236101,0.9715487928443507
